Time, x, der_x
9.3500, 0.0004, -0.0004
9.4000, 0.0004, -0.0004
9.4500, 0.0004, -0.0004
9.5000, 0.0004, -0.0004
9.5500, 0.0004, -0.0004
9.6000, 0.0003, -0.0003
9.6500, 0.0003, -0.0003
9.7000, 0.0003, -0.0003
9.7500, 0.0003, -0.0003
9.8000, 0.0003, -0.0003
9.8500, 0.0003, -0.0003
9.9000, 0.0003, -0.0003
9.9500, 0.0002, -0.0002
10.0000, 0.0002, -0.0002
